cocktail_name,transactions,units_sold,selling_price_net,beverage_cost_net,net_margin_pln,beverage_cost_pct,net_margin_pct,total_revenue_net,total_profit_net
CLASSIC NEGRONI,64,1513,28.46,6.95,21.51,0.244,0.756,43059.98,32544.63
AMARETTO SOUR,25,440,30.89,5.42,25.47,0.175,0.825,13591.6,11206.8
JAMAICAN NEGRONI,15,269,34.15,5.02,29.13,0.147,0.853,9186.35,7835.97
SHAKERONI,17,230,34.15,4.46,29.69,0.131,0.869,7854.5,6828.7
PISTACCHIO SOUR,16,243,31.71,4.55,27.16,0.143,0.857,7705.53,6599.88
CHOCOLATE NEGRONI,13,241,30.89,6.75,24.14,0.219,0.781,7444.49,5817.74
GIN BASIL SMASH,22,236,29.27,5.0,24.27,0.171,0.829,6907.72,5727.72
KINGSTONE NEGRONI,13,184,31.71,8.67,23.04,0.273,0.727,5834.64,4239.36
PAPER PLANE,5,49,40.65,7.61,33.04,0.187,0.813,1991.85,1618.96
PORNSTAR MARTINI,6,34,34.15,7.79,26.36,0.228,0.772,1161.1,896.24
EL PRESIDENTE,5,35,30.89,5.44,25.45,0.176,0.824,1081.15,890.75
MARADONA,2,26,34.15,5.1,29.05,0.149,0.851,887.9,755.3
ROSA SPRITZ,6,25,31.71,5.39,26.32,0.17,0.83,792.75,658.0
SGROPPINO,1,3,36.59,6.45,30.14,0.176,0.824,109.77,90.42
NEGRONI BIANCO,,,,8.14,,,,,
MEZCAL AMARONI,,,,12.14,,,,,
JUNGLE BIRD,,,,5.8,,,,,
CLOVER CLUB,,,,5.01,,,,,
